datapointID,X,Y,answer,subtaskID
1,22.673267,9.580484,0,1
2,39.224676,58.83623,0,1
3,32.408595,41.774299,1,1
4,6.126499,68.397975,0,1
5,71.063299,33.149874,0,1
6,33.033025,87.317014,0,1
7,71.32732,51.073054,0,1
8,51.06313,15.739308,1,1
9,30.903998,29.450576,1,1
10,10.730161,46.599627,1,1
11,84.341094,77.92932,0,1
12,21.189119,73.498939,0,1
13,54.283651,18.15922,1,1
14,48.329125,4.15117,0,1
15,11.987263,39.146868,1,1
16,55.50016,16.243338,1,1
17,34.194061,18.064032,1,1
18,64.617289,51.698363,1,1
19,62.623639,88.265726,0,1
20,13.758967,19.650946,1,1
21,23.749823,31.5828,1,1
22,24.455819,42.383872,1,1
23,8.637311,45.899956,1,1
24,12.286443,70.740856,0,1
25,32.057181,88.718827,0,1
26,13.966745,33.982098,1,1
27,83.92467,17.313803,0,1
28,24.841849,41.926535,1,1
29,93.948459,45.000222,0,1
30,50.119169,22.475688,1,1
31,51.692252,37.207875,1,1
32,47.895849,42.23268,1,1
33,39.900536,34.229327,1,1
34,42.032516,33.948648,1,1
35,19.45926,68.944601,0,1
36,78.126896,3.445741,0,1
37,87.147382,16.786953,0,1
38,20.381899,82.2862,0,1
39,18.651462,31.666198,1,1
40,2.456396,91.298873,0,1
41,4.689481,49.398726,1,1
42,55.668098,21.349242,1,1
43,41.810964,75.515248,0,1
44,15.860589,70.722851,0,1
45,88.716822,97.943707,0,1
46,22.179268,50.730252,1,1
47,35.836559,26.501522,1,1
48,41.75387,85.80691,0,1
49,87.948028,40.642916,0,1
50,64.975619,48.615087,1,1
51,79.157179,12.337211,0,1
52,37.600027,17.098427,1,1
53,63.9047,17.525846,1,1
54,66.782904,14.765865,1,1
55,16.216961,51.49281,1,1
56,22.966838,96.301324,0,1
57,50.217514,50.723097,1,1
58,52.724512,96.615171,0,1
59,14.51034,29.454611,1,1
60,29.68557,71.072806,0,1
61,20.115817,21.709713,1,1
62,6.14982,44.568716,1,1
63,90.007826,8.650654,0,1
64,57.289058,41.377791,1,1
65,13.052946,33.976258,1,1
66,25.612205,81.252988,0,1
67,50.316935,88.692967,0,1
68,25.309172,68.339184,0,1
69,64.511833,22.646006,1,1
70,23.667113,33.692818,1,1
71,28.306451,12.542438,1,1
72,47.392483,15.81795,1,1
73,99.718735,79.607155,0,1
74,83.718319,19.951217,0,1
75,3.757729,64.536719,0,1
76,34.285771,1.020708,0,1
77,39.365292,50.394259,1,1
78,35.157601,15.098083,1,1
79,28.703944,2.173097,0,1
80,76.285959,33.925155,0,1
81,32.020391,17.172965,1,1
82,45.028015,91.854835,0,1
83,61.095641,21.627592,1,1
84,15.521674,25.046844,1,1
85,93.358781,32.956956,0,1
86,42.392788,60.526435,0,1
87,74.360593,89.159757,0,1
88,69.370554,53.055318,1,1
89,23.562576,86.665701,0,1
90,68.927791,71.483788,0,1
91,78.008444,92.860476,0,1
92,19.405615,65.866109,0,1
93,43.13901,16.254126,1,1
94,56.355701,9.777184,0,1
95,80.871334,27.433758,0,1
96,16.615028,28.915816,1,1
